"Show ID","Show Name","Show Date","Game Year",Host,Class,Discipline,Level,Section,Final,Placing,Score,Eliminated,"Animal ID","Animal Name",Horse/Dog,Owner,Stable/Kennel
24,"BHJA Opening Classic",2026-06-18,"Year 27",Artemis,Crossrails,"Show Jumping","Crossrails / 2'",,,4,0,,31,Quantico,Horse,Bertie,"Chromewood Farm"
24,"BHJA Opening Classic",2026-06-18,"Year 27",Artemis,Crossrails,"Show Jumping","Crossrails / 2'",,,4,4.04,,33,Odette,Horse,Bertie,"Chromewood Farm"
24,"BHJA Opening Classic",2026-06-18,"Year 27",Artemis,Crossrails,"Show Jumping","Crossrails / 2'",,,4,6.32,,31,Quantico,Horse,Bertie,"Chromewood Farm"
24,"BHJA Opening Classic",2026-06-18,"Year 27",Artemis,Crossrails,"Show Jumping","Crossrails / 2'",,,5,3.81,,36,Lemenach,Horse,Bertie,"Chromewood Farm"
24,"BHJA Opening Classic",2026-06-18,"Year 27",Artemis,Crossrails,"Show Jumping","Crossrails / 2'",,,5,4.38,,25,Cosmopolitan,Horse,Artemis,"Oak Hill Farms"
24,"BHJA Opening Classic",2026-06-18,"Year 27",Artemis,Crossrails,"Show Jumping","Crossrails / 2'",,,5,7.73,,36,Lemenach,Horse,Bertie,"Chromewood Farm"
24,"BHJA Opening Classic",2026-06-18,"Year 27",Artemis,Crossrails,"Show Jumping","Crossrails / 2'",,,6,3.81,,25,Cosmopolitan,Horse,Artemis,"Oak Hill Farms"
24,"BHJA Opening Classic",2026-06-18,"Year 27",Artemis,Crossrails,"Show Jumping","Crossrails / 2'",,,6,4.94,,82,"Oubliette CC",Horse,Dusty,"Cedar Creek"
24,"BHJA Opening Classic",2026-06-18,"Year 27",Artemis,Crossrails,"Show Jumping","Crossrails / 2'",,,6,7.88,,25,Cosmopolitan,Horse,Artemis,"Oak Hill Farms"
24,"BHJA Opening Classic",2026-06-18,"Year 27",Artemis,Crossrails,"Show Jumping","Crossrails / 2'",,,7,3.81,,20,Manhattan,Horse,Artemis,"Oak Hill Farms"
24,"BHJA Opening Classic",2026-06-18,"Year 27",Artemis,Crossrails,"Show Jumping","Crossrails / 2'",,,7,5.36,,20,Manhattan,Horse,Artemis,"Oak Hill Farms"
24,"BHJA Opening Classic",2026-06-18,"Year 27",Artemis,Crossrails,"Show Jumping","Crossrails / 2'",,,7,10.85,,72,"Smokesong AL",Horse,Starry,"Aileach Stud"
24,"BHJA Opening Classic",2026-06-18,"Year 27",Artemis,Crossrails,"Show Jumping","Crossrails / 2'",,,8,7.62,,33,Odette,Horse,Bertie,"Chromewood Farm"
24,"BHJA Opening Classic",2026-06-18,"Year 27",Artemis,Crossrails,"Show Jumping","Crossrails / 2'",,,8,5.87,,21,Madelyne,Horse,Artemis,"Oak Hill Farms"
24,"BHJA Opening Classic",2026-06-18,"Year 27",Artemis,Crossrails,"Show Jumping","Crossrails / 2'",,,8,13.96,,21,Madelyne,Horse,Artemis,"Oak Hill Farms"
24,"BHJA Opening Classic",2026-06-18,"Year 27",Artemis,Crossrails,"Show Jumping","Crossrails / 2'",,,9,7.62,,82,"Oubliette CC",Horse,Dusty,"Cedar Creek"
24,"BHJA Opening Classic",2026-06-18,"Year 27",Artemis,Crossrails,"Show Jumping","Crossrails / 2'",,,9,8.63,,94,Brandywine,Horse,Danyel,Stonehollow
24,"BHJA Opening Classic",2026-06-18,"Year 27",Artemis,Crossrails,"Show Jumping","Crossrails / 2'",,,9,16.82,,33,Odette,Horse,Bertie,"Chromewood Farm"
